Survived,PassengerId
0,892
0,893
0,894
1,895
1,896
0,897
0,898
0,899
1,900
0,901
0,902
0,903
1,904
0,905
0,906
1,907
1,908
1,909
0,910
0,911
1,912
0,913
0,914
1,915
1,916
0,917
1,918
1,919
1,920
0,921
0,922
1,923
0,924
0,925
1,926
1,927
0,928
0,929
0,930
1,931
0,932
0,933
0,934
0,935
0,936
0,937
1,938
0,939
0,940
0,941
0,942
0,943
0,944
0,945
0,946
0,947
0,948
1,949
1,950
0,951
0,952
1,953
0,954
0,955
1,956
0,957
1,958
0,959
0,960
0,961
0,962
0,963
0,964
0,965
0,966
0,967
0,968
0,969
0,970
0,971
1,972
0,973
0,974
0,975
0,976
0,977
1,978
1,979
0,980
0,981
0,982
0,983
0,984
0,985
0,986
0,987
0,988
0,989
0,990
0,991
0,992
0,993
0,994
0,995
1,996
1,997
0,998
0,999
0,1000
0,1001
0,1002
1,1003
0,1004
0,1005
1,1006
0,1007
0,1008
1,1009
1,1010
0,1011
0,1012
0,1013
1,1014
0,1015
0,1016
1,1017
0,1018
1,1019
0,1020
0,1021
1,1022
0,1023
0,1024
0,1025
0,1026
0,1027
1,1028
0,1029
0,1030
0,1031
0,1032
1,1033
1,1034
0,1035
0,1036
0,1037
0,1038
0,1039
0,1040
0,1041
1,1042
0,1043
0,1044
0,1045
0,1046
0,1047
0,1048
0,1049
0,1050
1,1051
0,1052
1,1053
1,1054
0,1055
0,1056
1,1057
0,1058
0,1059
0,1060
0,1061
0,1062
1,1063
0,1064
0,1065
0,1066
0,1067
1,1068
1,1069
0,1070
0,1071
0,1072
1,1073
1,1074
0,1075
1,1076
0,1077
0,1078
0,1079
0,1080
0,1081
0,1082
0,1083
1,1084
1,1085
1,1086
0,1087
1,1088
0,1089
0,1090
1,1091
0,1092
0,1093
1,1094
0,1095
0,1096
0,1097
0,1098
0,1099
0,1100
0,1101
1,1102
0,1103
0,1104
0,1105
1,1106
0,1107
1,1108
1,1109
1,1110
0,1111
1,1112
0,1113
0,1114
0,1115
0,1116
0,1117
0,1118
0,1119
0,1120
0,1121
0,1122
0,1123
0,1124
1,1125
1,1126
0,1127
0,1128
1,1129
0,1130
0,1131
0,1132
0,1133
1,1134
0,1135
0,1136
1,1137
0,1138
0,1139
0,1140
0,1141
1,1142
0,1143
1,1144
0,1145
1,1146
0,1147
0,1148
0,1149
0,1150
0,1151
1,1152
0,1153
0,1154
1,1155
1,1156
0,1157
0,1158
0,1159
0,1160
0,1161
0,1162
0,1163
1,1164
1,1165
0,1166
0,1167
0,1168
0,1169
0,1170
0,1171
0,1172
1,1173
0,1174
1,1175
1,1176
0,1177
0,1178
1,1179
0,1180
0,1181
0,1182
0,1183
0,1184
0,1185
0,1186
0,1187
1,1188
0,1189
0,1190
0,1191
0,1192
0,1193
0,1194
0,1195
0,1196
0,1197
1,1198
1,1199
0,1200
0,1201
0,1202
1,1203
0,1204
0,1205
1,1206
0,1207
1,1208
0,1209
0,1210
1,1211
0,1212
0,1213
0,1214
0,1215
1,1216
0,1217
0,1218
0,1219
0,1220
0,1221
1,1222
1,1223
0,1224
1,1225
0,1226
0,1227
0,1228
0,1229
0,1230
0,1231
0,1232
0,1233
0,1234
1,1235
1,1236
0,1237
0,1238
0,1239
1,1240
0,1241
1,1242
0,1243
0,1244
0,1245
1,1246
0,1247
0,1248
0,1249
0,1250
1,1251
0,1252
1,1253
0,1254
1,1255
1,1256
0,1257
0,1258
0,1259
1,1260
1,1261
1,1262
1,1263
0,1264
0,1265
0,1266
1,1267
0,1268
1,1269
0,1270
1,1271
0,1272
1,1273
0,1274
0,1275
1,1276
0,1277
0,1278
0,1279
0,1280
0,1281
1,1282
0,1283
1,1284
0,1285
0,1286
0,1287
0,1288
1,1289
0,1290
1,1291
1,1292
0,1293
1,1294
0,1295
1,1296
1,1297
0,1298
1,1299
0,1300
1,1301
0,1302
0,1303
0,1304
0,1305
1,1306
0,1307
0,1308
1,1309
